part,readout,effect,estimate,ci95_low,ci95_high,n_models,n_boot
residual_factorial,common_it,late_weight_effect,1.8896055404791579,1.8029415644805593,1.9690681228392983,5,2000
residual_factorial,common_it,upstream_context_effect,4.238709540575966,4.096968092711766,4.378690941496908,5,2000
residual_factorial,common_it,interaction,2.6351959894476136,2.5404429873591,2.7335680538313816,5,2000
residual_factorial,common_it,late_it_given_it_upstream,3.2072035352029644,3.090799469119127,3.325061644983698,5,2000
residual_factorial,common_it,late_it_given_pt_upstream,0.5720075457553511,0.49451828239489287,0.6504952994483492,5,2000
residual_factorial,common_pt,late_weight_effect,1.9134931450235193,1.8344805054451465,1.9887852285037997,5,2000
residual_factorial,common_pt,upstream_context_effect,4.206025389136492,4.06499287126246,4.347083563142393,5,2000
residual_factorial,common_pt,interaction,2.6097186779866712,2.5137060887502036,2.7121876218507484,5,2000
residual_factorial,common_pt,late_it_given_it_upstream,3.2183524840168554,3.101007843240902,3.3294036326394725,5,2000
residual_factorial,common_pt,late_it_given_pt_upstream,0.6086338060301839,0.5406774364519266,0.6785280615100637,5,2000
residual_factorial,native_pt,late_weight_effect,,,,0,0
residual_factorial,native_pt,upstream_context_effect,,,,0,0
residual_factorial,native_pt,interaction,,,,0,0
residual_factorial,native_pt,late_it_given_it_upstream,,,,0,0
residual_factorial,native_pt,late_it_given_pt_upstream,,,,0,0
residual_factorial,native_it,late_weight_effect,,,,0,0
residual_factorial,native_it,upstream_context_effect,,,,0,0
residual_factorial,native_it,interaction,,,,0,0
residual_factorial,native_it,late_it_given_it_upstream,,,,0,0
residual_factorial,native_it,late_it_given_pt_upstream,,,,0,0
