evidence,metric,primary_comparison,dense5_value,source_value_numeric,source_ci_low,source_ci_high,interpretation,caveat
Exp20 identity,raw-shared IT-token fraction under PT host,PT+IT mid vs PT+IT late,"26.0% (95% CI [24.5%, 27.7%]) vs 17.6% (95% CI [16.2%, 18.9%])",0.085,0.069,0.103,Middle grafts transfer opposite-model token identity more than late grafts.,Raw-shared is the cleaner identity control but not the native IT deployment prompt.
Exp20 mirror identity,raw-shared PT-token fraction under IT host,IT+PT mid vs IT+PT late,"31.2% (95% CI [29.6%, 32.9%]) vs 20.8% (95% CI [19.4%, 22.3%])",0.104,0.086,0.123,Middle swaps transfer opposite-model token identity more than late swaps.,This is a raw-shared identity control rather than native IT deployment prompting.
Exp20 native readout,native IT-host margin drop,pure IT minus PT early/mid/late swap,"early +11.534 (95% CI [+11.196, +11.875]), mid +12.009 (95% CI [+11.663, +12.351]), late +13.248 (95% CI [+12.905, +13.607])",13.248,12.905,13.607,Late swap causes the largest single-window loss of native IT-vs-PT token margin.,"First-divergence token margin is a causal proxy, not direct human-rated behavior."
Exp20 native identity retention,native IT-token fraction under IT host,early/mid/late PT swap,"early 61.0% (95% CI [59.4%, 62.7%]), mid 59.3% (95% CI [57.6%, 60.9%]), late 67.7% (95% CI [66.2%, 69.2%])",0.677,0.662,0.692,Late PT swaps preserve IT-token identity more than early or mid swaps.,This retention coexists with the largest single-window margin drop.
Exp20 combined windows,native IT-host margin drop,pure IT minus PT early+mid / mid+late swap,"early+mid +16.001 (95% CI [+15.627, +16.384]), mid+late +17.098 (95% CI [+16.721, +17.498])",17.098,16.721,17.498,"Multi-window swaps hurt more than any single window, supporting a distributed circuit.","The strongest claim is distributed mid-to-late handoff, not a late-only module."
Exp21 MLP support,pure IT support_it_token,early vs mid vs late MLP windows,"early -0.041 (95% CI [-0.049, -0.032]), mid +0.021 (95% CI [+0.011, +0.032]), late +0.789 (95% CI [+0.754, +0.825])",0.789,0.754,0.825,Direct IT-token write-out in pure IT is overwhelmingly late.,"Logit deltas are local MLP finite differences, not probabilities."
Exp21 IT shift,IT-minus-PT support_it_token,early vs mid vs late MLP windows,"early +0.034 (95% CI [+0.027, +0.042]), mid +0.070 (95% CI [+0.059, +0.080]), late +0.715 (95% CI [+0.683, +0.747])",0.715,0.683,0.747,Instruction tuning mostly increases late MLP support for the IT divergent token.,Absolute support magnitudes are compared within the same fixed-prefix readout design.
Exp21 IT-host necessity,late-window MLP IT-vs-PT margin drop,C_it_chat minus D early/mid/late swap,"early +0.222 (95% CI [+0.202, +0.240]), mid +0.160 (95% CI [+0.139, +0.179]), late +0.292 (95% CI [+0.278, +0.306])",0.292,0.278,0.306,Removing IT late layers causes the largest single-window MLP margin loss.,"This is fixed-prefix MLP write-in, not free-running behavioral causality."
Exp21 PT-host sufficiency,late-window MLP IT-vs-PT margin gain,B_late - A and B_midlate - B_mid,"B_late-A +0.004 (95% CI [-0.001, +0.009]); B_midlate-B_mid +0.012 (95% CI [+0.007, +0.016])",0.004,-0.001,0.009,IT late MLP updates alone are weak in a PT upstream state.,Late readout appears context-gated by earlier IT computation.
Exp21 source decomposition,2x2 late-window MLP margin effects,late MLP update vs upstream context vs interaction,"late MLP update +0.148 (95% CI [+0.139, +0.157]), upstream +0.403 (95% CI [+0.360, +0.444]), interaction +0.288 (95% CI [+0.277, +0.301])",0.403,0.360,0.444,"Upstream IT context is larger than the late-MLP main effect, with positive interaction.",Late layers are important but not standalone sufficient.
Exp21 residual-opposition caveat,residual-opposing component vs full-update IT-vs-PT margin,pure IT late MLP update,"full update +0.768 (95% CI [+0.729, +0.805]); residual-opposing component -0.005 (95% CI [-0.009, -0.001]); delta-cosine IT-PT -0.080 (95% CI [-0.081, -0.079])",-0.005,-0.009,-0.001,Token-specific full-update write-in is the mechanism evidence.,"Residual-opposing geometry is a marker, not direct IT-token write-in."
