key,teacher_source,comparison,method,probe_family,outcome,estimate,ci95_low,ci95_high,models,n_models
it_native_native_fixed_raw_late_kl,it_native,native_fixed_effect,paired_same_prompt_step,raw,late_kl_mean,1.354305668306464,1.3342745707201755,1.389715183091011,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_native_fixed_tuned_late_kl,it_native,native_fixed_effect,paired_same_prompt_step,tuned,late_kl_mean,0.8212497442042836,0.8176489513339489,0.8632915423371729,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_raw_fixed_raw_late_kl,it_native,raw_fixed_effect,paired_same_prompt_step,raw,late_kl_mean,0.6559450114407979,0.6319364611338217,0.670186353950328,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_raw_fixed_tuned_late_kl,it_native,raw_fixed_effect,paired_same_prompt_step,tuned,late_kl_mean,0.32861189656965956,0.3250561232555177,0.35658736680002834,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_template_delta_raw_late_kl,it_native,template_delta,paired_same_prompt_step,raw,late_kl_mean,0.6983606568656663,0.6930972608645832,0.7303213691699774,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_template_delta_tuned_late_kl,it_native,template_delta,paired_same_prompt_step,tuned,late_kl_mean,0.49263784763462404,0.4861577688055943,0.516471721073436,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_native_fixed_cem_raw_late_kl,it_native,native_fixed_effect,cem,raw,late_kl_mean,0.7542910090258986,0.7024150844235928,0.8058356441545966,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_raw_fixed_cem_raw_late_kl,it_native,raw_fixed_effect,cem,raw,late_kl_mean,0.2459456956219997,0.20190248016968337,0.2892087427155832,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_template_delta_cem_raw_late_kl,it_native,template_delta,cem,raw,late_kl_mean,0.33821304848008354,0.2842523649040376,0.3937011485678091,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_native_fixed_future_top1_flips,it_native,native_fixed_effect,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,-0.05311447774322797,-0.060735826564755506,-0.05300218147380682,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_raw_fixed_future_top1_flips,it_native,raw_fixed_effect,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,-0.044727406668418755,-0.04339125615835544,-0.03528204142277083,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
it_native_template_delta_future_top1_flips,it_native,template_delta,paired_same_prompt_step,pooled_probe_fe,future_top1_flips,-0.00838707107480921,-0.02150443236127388,-0.013499396079558926,"gemma3_4b,llama31_8b,mistral_7b,olmo2_7b,qwen3_4b",5
