position_stratum,records,dense5_interaction,dense5_ci_low,dense5_ci_high,gemma_removed_records,gemma_removed_interaction,gemma_removed_ci_low,gemma_removed_ci_high
all positions,2983,2.6351959894476136,2.536823484330066,2.730649139099175,2383,1.7745223305595168,1.6910731532070984,1.860031322549334
position 0,1499,3.014915001763547,2.8751564352527947,3.156762353709613,1184,2.3847151807758626,2.2522907698300827,2.5208278604519494
positions 1-4,989,2.4224100314376544,2.2649325216461866,2.580775736855559,740,1.2941552350802006,1.1704193628468345,1.4147672578079027
positions >=1,1484,2.248233419644727,2.111713621144889,2.381941370294744,1199,1.1410072350822242,1.0547970904263009,1.2330968627572894
positions >=2,1123,1.7734130593409578,1.628918304628593,1.9277839661454692,1025,1.0617918343802786,0.9724175421393315,1.1496465657248702
positions >=3,800,1.5171470715271445,1.3609315405695073,1.6777874011648348,725,0.788100506075597,0.6999715202300372,0.8797333487976914
positions >=4,641,1.5197860371664198,1.3270419859313751,1.7140624729324925,586,0.8037098191852975,0.6965308671200412,0.9121329794372931
position >=5,495,1.6388563719071523,1.3924069821936453,1.8802611244216922,459,0.8259142148839407,0.7123552879374079,0.9388008422222021
position >=10,140,1.494302386970413,0.8522589802717961,2.1969922649821645,132,1.0456123587130164,0.8136076766155681,1.293176683954832
