scope,lens,n_models,early_third_it_minus_pt_kl,middle_third_it_minus_pt_kl,late_third_it_minus_pt_kl,final_half_cg,full_stack_mean_diff
six_family,tuned,6,0.617,0.558,0.303,0.398,0.492
six_family,raw,6,0.33,0.598,0.638,0.729,0.526
dense5,tuned,5,0.616,0.536,0.329,0.41,0.493
dense5,raw,5,0.177,0.42,0.771,0.771,0.461
dense5_no_gemma,tuned,4,0.487,0.545,0.324,0.425,0.453
dense5_no_gemma,raw,4,-0.228,0.217,0.734,0.712,0.251
Gemma 3 4B,tuned,1,1.133,0.5,0.35,0.351,0.652
Gemma 3 4B,raw,1,1.797,1.231,0.922,1.008,1.305
Llama 3.1 8B,tuned,1,0.532,0.629,0.272,0.435,0.476
Llama 3.1 8B,raw,1,-0.423,0.215,0.473,0.627,0.104
Qwen 3 4B,tuned,1,1.115,1.0,0.491,0.645,0.869
Qwen 3 4B,raw,1,-0.314,0.535,0.74,0.751,0.32
Mistral 7B v0.3,tuned,1,0.018,0.147,0.299,0.321,0.159
Mistral 7B v0.3,raw,1,0.007,0.248,1.101,1.054,0.466
DeepSeek-V2-Lite,tuned,1,0.62,0.666,0.173,0.339,0.486
DeepSeek-V2-Lite,raw,1,1.094,1.488,-0.031,0.519,0.851
OLMo 2 7B,tuned,1,0.282,0.404,0.233,0.298,0.307
OLMo 2 7B,raw,1,-0.184,-0.128,0.62,0.417,0.112
