model,label,window,layers,final20_delta_kl,mean_mlp_weight_delta_proxy,effect_per_weight_delta_proxy
gemma3_4b,Gemma 3 4B,early,0-13,-0.019797028697839503,0.0036018131695443986,-5.496406328133803
gemma3_4b,Gemma 3 4B,mid,10-23,-0.059215567143990344,0.004244700930005346,-13.950468624397471
gemma3_4b,Gemma 3 4B,late,20-33,0.6093530415400263,0.004155631135228011,146.6330917521611
qwen3_4b,Qwen 3 4B,early,0-13,-0.07623955648177083,0.001962568536984325,-38.846824987279284
qwen3_4b,Qwen 3 4B,mid,11-24,-0.1572624531010658,0.002618359497800482,-60.06144428722336
qwen3_4b,Qwen 3 4B,late,22-35,0.49061941402467646,0.002660856891473208,184.383991336355
llama31_8b,Llama 3.1 8B,early,0-12,-0.1348508902883856,0.0005696095163592991,-236.7426919941488
llama31_8b,Llama 3.1 8B,mid,9-21,-0.09773760506822426,0.0006564796382604705,-148.8813961194712
llama31_8b,Llama 3.1 8B,late,19-31,0.31046022934902995,0.0006850648666487115,453.18369757856544
mistral_7b,Mistral 7B v0.3,early,0-12,0.05651907600732908,6.436147633171725e-05,878.1507079799001
mistral_7b,Mistral 7B v0.3,mid,9-21,0.049531176214118844,6.728024521492427e-05,736.1919692161246
mistral_7b,Mistral 7B v0.3,late,19-31,0.11538927218041795,6.57707370760631e-05,1754.4165887478437
olmo2_7b,OLMo 2 7B,early,0-12,0.0007415577458138589,0.001324105242802704,0.5600444147809732
olmo2_7b,OLMo 2 7B,mid,9-21,0.03787605574082409,0.0013954606910467925,27.142330832989426
olmo2_7b,OLMo 2 7B,late,19-31,0.1814219162699776,0.0013922315346712295,130.3101616016906
deepseek_v2_lite,DeepSeek-V2-Lite,early,0-10,-0.010319507038133335,0.000902571309410368,-11.433453435246978
deepseek_v2_lite,DeepSeek-V2-Lite,mid,8-18,-0.05380495745499925,0.000977252880526252,-55.0573536565328
deepseek_v2_lite,DeepSeek-V2-Lite,late,16-26,0.2306146953979189,0.0009826868473512445,234.6777063512377
